This file includes the data from the calculated trajectory of Particle1 (proton)

Analytic formula for the resulting electric field:
0
REMARK: This does not include the electric field produced by the WOS objects 

Analytic formula for the resulting magnetic field:
(-1.0e-5*y*(-(20*z - 200)/(20*sqrt(y**2 + (x + 5)**2 + (z - 10)**2)) + (20*z + 200)/(20*sqrt(y**2 + (x + 5)**2 + (z + 10)**2)))/(sqrt(y**2 + (x + 5)**2)*sqrt(400*y**2 + (20*x + 100)**2)))*L.i + (5.0e-7*(20*x + 100)*(-(20*z - 200)/(20*sqrt(y**2 + (x + 5)**2 + (z - 10)**2)) + (20*z + 200)/(20*sqrt(y**2 + (x + 5)**2 + (z + 10)**2)))/(sqrt(y**2 + (x + 5)**2)*sqrt(400*y**2 + (20*x + 100)**2)))*L.j

Data concerning the trajectory of the particle (easily imported into excel matlab...):
t;x;y;z;v;a;E;B
0;5;0;0;(-100.000000000000)*L.i;(-1354.65158573010)*L.k;(-7.07106781186587e-6)*L.k;(7.07106781186587e-8)*L.j
0.0005;4.950000577787168;0.0;-0.00016996989730606692;(-99.9976801375527)*L.i + (-0.679871673491393)*L.k;9.27944978934033*L.i + (-1364.83510823548)*L.k;(4.84372656470675e-8)*L.i + (-7.12422419462713e-6)*L.k;(7.12438884984527e-8)*L.j
0.001;4.90000348856586;0.0;-0.0006811515256317016;(-99.9906679283916)*L.i + (-1.36484662241908)*L.k;18.7693868548358*L.i + (-1375.06468747527)*L.k;(9.79732417071349e-8)*L.i + (-7.17762098628442e-6)*L.k;(7.17829023639550e-8)*L.j
0.0015;4.850011105089657;0.0;-0.0015361021747471945;(-99.9788570526516)*L.i + (-2.05494744498727)*L.k;28.4741161053218*L.i + (-1385.33860279749)*L.k;(1.48630399125955e-7)*L.i + (-7.23124920530546e-6)*L.k;(7.23277778226762e-8)*L.j
0.002;4.800025853807651;0.0;-0.0027373902041154027;(-99.9621390484472)*L.i + (-2.75019582155958)*L.k;38.3979007120404*L.i + (-1395.65490349176)*L.k;(2.00430990985625e-7)*L.i + (-7.28509866928958e-6)*L.k;(7.28785726352796e-8)*L.j
0.0025;4.750050215936596;0.0;-0.004287594562269279;(-99.9404033072119)*L.i + (-3.45061242775730)*L.k;48.5450642292101*L.i + (-1406.01152129913)*L.k;(2.53397585557857e-7)*L.i + (-7.33915858225094e-6)*L.k;(7.34353441553723e-8)*L.j
0.003;4.700086728541743;0.0;-0.006189304269463146;(-99.9135370437311)*L.i + (-4.15621687454329)*L.k;58.9199896942293*L.i + (-1416.40626584480)*L.k;(3.07553061607196e-7)*L.i + (-7.39341751077818e-6)*L.k;(7.39981492663282e-8)*L.j
0.0035;4.650137985632543;0.0;-0.00844511786978719;(-99.8814252666617)*L.i + (-4.86702764599106)*L.k;69.5271185833891*L.i + (-1426.83681994629)*L.k;(3.62920602939993e-7)*L.i + (-7.44786335954395e-6)*L.k;(7.45670443149676e-8)*L.j
0.004;4.600206639272937;0.0;-0.011057642851572125;(-99.8439507496126)*L.i + (-5.58306203467646)*L.k;80.3709496128306*L.i + (-1437.30073479529)*L.k;(4.19523692145599e-7)*L.i + (-7.50248334615471e-6)*L.k;(7.51420850419807e-8)*L.j
0.0045000000000000005;4.5502954007059575;0.0;-0.014029495034879429;(-99.8009940028656)*L.i + (-6.30433607462851)*L.k;91.4560373752767*L.i + (-1447.79542501293)*L.k;(4.77386103480316e-7)*L.i + (-7.55726397534027e-6)*L.k;(7.57233265089793e-8)*L.j
0.005000000000000001;4.500407041492285;0.0;-0.017363297924841026;(-99.7524332458211)*L.i + (-7.03086447177645)*L.k;102.786990802670*L.i + (-1458.31816357882)*L.k;(5.36531894842609e-7)*L.i + (-7.61219101248378e-6)*L.k;(7.63108230220610e-8)*L.j
0.005500000000000001;4.450544394662375;0.0;-0.02106168202958066;(-99.6981443802593)*L.i + (-7.76266053182968)*L.k;114.368471444439*L.i + (-1468.86607663411)*L.k;(5.96985398785931e-7)*L.i + (-7.66724945649499e-6)*L.k;(7.69046280517680e-8)*L.j
0.006000000000000002;4.4007103558817295;0.0;-0.025127284141417773;(-99.6380009645106)*L.i + (-8.49973608552813)*L.k;126.205191550705*L.i + (-1479.43613815969)*L.k;(6.58771212513355e-7)*L.i + (-7.72242351203097e-6)*L.k;(7.75047941493154e-8)*L.j
0.006500000000000002;4.350907884628834;0.0;-0.02956274658002354;(-99.5718741886355)*L.i + (-9.24210141120071)*L.k;138.301911949314*L.i + (-1490.02516453061)*L.k;(7.21914186796037e-7)*L.i + (-7.77769656107114e-6)*L.k;(7.81113728589701e-8)*L.j
0.007000000000000003;4.301140005385218;0.0;-0.03437071639616773;(-99.4996328507219)*L.i + (-9.98976515457048)*L.k;150.663439705179*L.i + (-1500.62980894849)*L.k;(7.86439413755317e-7)*L.i + (-7.83305113385534e-6)*L.k;(7.87244146264512e-8)*L.j
0.007500000000000003;4.251409808837069;0.0;-0.03955384453466464;(-99.4211433344081)*L.i + (-10.7427342457461)*L.k;163.294625549948*L.i + (-1511.24655575404)*L.k;(8.52372213446023e-7)*L.i + (-7.88846887919612e-6)*L.k;(7.93439687032267e-8)*L.j
0.008000000000000004;4.201720453087745;0.0;-0.04511478495509633;(-99.3362695877533)*L.i + (-11.5010138133402)*L.k;176.200361069632*L.i + (-1521.87171462239)*L.k;(9.19738119176322e-7)*L.i + (-7.94393053417914e-6)*L.k;(7.99700830465759e-8)*L.j
0.008500000000000004;4.152075164880479;0.0;-0.05105619370886236;(-99.2448731035765)*L.i + (-12.2646070956569)*L.k;189.385575637369*L.i + (-1532.50141464435)*L.k;(9.88562861497218e-7)*L.i + (-7.99941589326843e-6)*L.k;(8.06028042152879e-8)*L.j
0.009000000000000005;4.102477240830525;0.0;-0.05738072797107625;(-99.1468129013976)*L.i + (-13.0335153488924)*L.k;202.855233078064*L.i + (-1543.13159829749)*L.k;(1.05887235079253e-6)*L.i + (-8.05490377683624e-6)*L.k;(8.12421772608626e-8)*L.j
0.009500000000000005;4.052930048665888;0.0;-0.06409104502580205;(-99.0419455111153)*L.i + (-13.8077377522946)*L.k;216.614328051260*L.i + (-1553.75801531132)*L.k;(1.13069265839799e-6)*L.i + (-8.11037199914036e-6)*L.k;(8.18882456140817e-8)*L.j
0.010000000000000005;4.003437028475756;0.0;-0.07118980120309742;(-98.9301249585680)*L.i + (-14.5872713102303)*L.k;230.667882138112*L.i + (-1564.37621643175)*L.k;(1.20404999617596e-6)*L.i + (-8.16579733577564e-6)*L.k;(8.25410509668148e-8)*L.j
0.010500000000000006;3.9540016939656315;0.0;-0.07867965076630462;(-98.8112027531289)*L.i + (-15.3721107511109)*L.k;245.020939617987*L.i + (-1574.98154709064)*L.k;(1.27897069446983e-6)*L.i + (-8.22115549062977e-6)*L.k;(8.32006331489245e-8)*L.j
0.011000000000000006;3.9046276337181265;0.0;-0.08656324474800739;(-98.6850278774945)*L.i + (-16.1622484231303)*L.k;259.678562919756*L.i + (-1585.56914098687)*L.k;(1.35548117836059e-6)*L.i + (-8.27642106237783e-6)*L.k;(8.38670300001356e-8)*L.j
0.011500000000000007;3.8553185124582687;0.0;-0.09484322973304937;(-98.5514467798315)*L.i + (-16.9576741867737)*L.k;274.645827732483*L.i + (-1596.13391358654)*L.k;(1.43360794214532e-6)*L.i + (-8.33156751055398e-6)*L.k;(8.45402772367312e-8)*L.j
0.012000000000000007;3.806078072322103;0.0;-0.10352224658698944;(-98.4103033684584)*L.i + (-17.7583753040579)*L.k;289.927817759820*L.i + (-1606.67055555033)*L.k;(1.51337752195600e-6)*L.i + (-8.38656712124364e-6)*L.k;(8.52204083129406e-8)*L.j
0.012500000000000008;3.7569101341272715;0.0;-0.11260292912835165;(-98.2614390092429)*L.i + (-18.5643363244698)*L.k;305.529619102072*L.i + (-1617.17352609742)*L.k;(1.59481646643475e-6)*L.i + (-8.44139097244409e-6)*L.k;(8.59074542768816e-8)*L.j
0.013000000000000008;3.7078185986441734;0.0;-0.12208790274301114;(-98.1046925259050)*L.i + (-19.3755389675732)*L.k;321.456314249553*L.i + (-1627.63704631609)*L.k;(1.67795130538012e-6)*L.i + (-8.49600889914674e-6)*L.k;(8.66014436209250e-8)*L.j
0.013500000000000009;3.65880744786619;0.0;-0.13197978293904444;(-97.9399002034250)*L.i + (-20.1919620022603)*L.k;337.712975670537*L.i + (-1638.05509243217)*L.k;(1.76280851627716e-6)*L.i + (-8.55038945819970e-6)*L.k;(8.73024021263447e-8)*L.j
0.014000000000000009;3.609880746277384;0.0;-0.14228117384036207;(-97.7668957947631)*L.i + (-21.0135811226303)*L.k;354.304658976830*L.i + (-1648.42138904786)*L.k;(1.84941448862286e-6)*L.i + (-8.60449989301526e-6)*L.k;(8.80103527021245e-8)*L.j
0.01450000000000001;3.561042642115955;0.0;-0.15299466661743388;(-97.5855105311065)*L.i + (-21.8403688204833)*L.k;371.236395649760*L.i + (-1658.72940236428)*L.k;(1.93779548595689e-6)*L.i + (-8.65830609819289e-6)*L.k;(8.87253152177903e-8)*L.j
0.01500000000000001;3.5122973686316348;0.0;-0.16412283785341378;(-97.3955731358668)*L.i + (-22.6722942544250)*L.k;388.513185309141*L.i + (-1668.97233340269)*L.k;(2.02797760550683e-6)*L.i + (-8.71177258413497e-6)*L.k;(8.94473063301423e-8)*L.j
0.01550000000000001;3.4636492453350862;0.0;-0.17566824784396992;(-97.1969098426626)*L.i + (-23.5093231155858)*L.k;406.139987507630*L.i + (-1679.14311124039)*L.k;(2.11998673535602e-6)*L.i + (-8.76486244173925e-6)*L.k;(9.01763393037643e-8)*L.j
0.01600000000000001;3.415102679237256;0.0;-0.18763343882913078;(-96.9893444175275)*L.i + (-24.3514174899656)*L.k;424.121713032784*L.i + (-1689.23438627881)*L.k;(2.21384850904169e-6)*L.i + (-8.81753730725932e-6)*L.k;(9.09124238251909e-8)*L.j
0.01650000000000001;3.3666621660765053;0.0;-0.20002093315546485;(-96.7726981855945)*L.i + (-25.1985357174260)*L.k;442.463214699057*L.i + (-1699.23852356271)*L.k;(2.30958825749056e-6)*L.i + (-8.86975732743192e-6)*L.k;(9.16555658106206e-8)*L.j
0.01700000000000001;3.3183322915312137;0.0;-0.21283323136692534;(-96.5467900625167)*L.i + (-26.0506322473594)*L.k;461.169277611984*L.i + (-1709.14759617099)*L.k;(2.40723095819951e-6)*L.i + (-8.92148112497804e-6)*L.k;(9.24057672070661e-8)*L.j
0.017500000000000012;3.2701177324154194;0.0;-0.22607281022270886;(-96.3114365908920)*L.i + (-26.9076574910775)*L.k;480.244608886912*L.i + (-1718.95337870114)*L.k;(2.50680118156888e-6)*L.i + (-8.97266576459275e-6)*L.k;(9.31630257868423e-8)*L.j
0.018000000000000013;3.2220232578549317;0.0;-0.2397421206405005;(-96.0664519819691)*L.i + (-27.7695576709705)*L.k;499.693826804733*L.i + (-1728.64734087111)*L.k;(2.60832303429719e-6)*L.i + (-9.02326671954797e-6)*L.k;(9.39273349352988e-8)*L.j
0.018500000000000013;3.174053730441195;0.0;-0.25384358556350745;(-95.8116481629211)*L.i + (-28.6362746665043)*L.k;519.521449387389*L.i + (-1738.22064126407)*L.k;(2.71182009974704e-6)*L.i + (-9.07323783904103e-6)*L.k;(9.46986834317135e-8)*L.j
0.019000000000000013;3.1262141073600516;0.0;-0.26837959774971926;(-95.5468348299802)*L.i + (-29.5077458571312)*L.k;539.731882376202*L.i + (-1747.66412124333)*L.k;(2.81731537519386e-6)*L.i + (-9.12253131643166e-6)*L.k;(9.54770552232749e-8)*L.j
0.019500000000000014;3.078509441492398;0.0;-0.2833525174818747;(-95.2718195077370)*L.i + (-30.3839039622087)*L.k;560.329406596550*L.i + (-1756.96829906675)*L.k;(2.92483120587155e-6)*L.i + (-9.17109765851994e-6)*L.k;(9.62624291920897e-8)*L.j
0.020000000000000014;3.0309448824835705;0.0;-0.29876467019666636;(-94.9864076149146)*L.i + (-31.2646768780333)*L.k;581.318164692969*L.i + (-1766.12336423163)*L.k;(3.03438921573181e-6)*L.i + (-9.21888565602782e-6)*L.k;(9.70547789151685e-8)*L.j
0.020500000000000015;2.983525677778146;0.0;-0.3146183440317709;(-94.6904025369365)*L.i + (-32.1499875121121)*L.k;602.702147219429*L.i + (-1775.11917208354)*L.k;(3.14601023483751e-6)*L.i + (-9.26584235545773e-6)*L.k;(9.78540724173548e-8)*L.j
0.021000000000000015;2.9362571736166805;0.0;-0.33091578728935933;(-94.3836057056141)*L.i + (-33.0397536148140)*L.k;624.485178070344*L.i + (-1783.94523872416)*L.k;(3.25971422331494e-6)*L.i + (-9.31191303251249e-6)*L.k;(9.86602719171777e-8)*L.j
0.021500000000000016;2.88914481599074;0.0;-0.34765920581481663;(-94.0658166862868)*L.i + (-33.9338876085590)*L.k;646.670899238866*L.i + (-1792.59073625581)*L.k;(3.37552019179445e-6)*L.i + (-9.35704116727242e-6)*L.k;(9.94733335656309e-8)*L.j
0.022000000000000016;2.8421941515524107;0.0;-0.3648507602894845;(-93.7368332727545)*L.i + (-34.8322964147235)*L.k;669.262754890091*L.i + (-1801.04448840227)*L.k;(3.49344611827509e-6)*L.i + (-9.40116842133688e-6)*L.k;(1.00293207177894e-7)*L.j
0.022500000000000017;2.795410828474314;0.0;-0.3824925634363348;(-93.3964515903475)*L.i + (-35.7348812784611)*L.k;692.263974738117*L.i + (-1809.29496654802)*L.k;(3.61350886135554e-6)*L.i + (-9.44423461714951e-6)*L.k;(1.01119835958041e-7)*L.j
0.023000000000000017;2.7488005972559586;0.0;-0.40058667713758633;(-93.0444662074836)*L.i + (-36.6415375916581)*L.k;715.677556717376*L.i + (-1817.33028624014)*L.k;(3.73572406978109e-6)*L.i + (-9.48617771973878e-6)*L.k;(1.01953156216797e-7)*L.j
0.023500000000000017;2.7023693114721072;0.0;-0.41913510946339305;(-92.6806702560692)*L.i + (-37.5521547142681)*L.k;739.506248940287*L.i + (-1825.13820419964)*L.k;(3.86010608826556e-6)*L.i + (-9.52693382111770e-6)*L.k;(1.02793097082436e-7)*L.j
0.024000000000000018;2.6561229284586414;0.0;-0.4381398116108602;(-92.3048555611003)*L.i + (-38.4666157942908)*L.k;763.752530935216*L.i + (-1832.70611589139)*L.k;(3.98666785955626e-6)*L.i + (-9.56643712759908e-6)*L.k;(1.03639580204948e-7)*L.j
0.02450000000000002;2.610067509931234;0.0;-0.45760267475278327;(-91.9168127798263)*L.i + (-39.3847975866897)*L.k;788.418594160766*L.i + (-1840.02105370419)*L.k;(4.11542082272179e-6)*L.i + (-9.60461995029589e-6)*L.k;(1.04492519453607e-7)*L.j
0.02500000000000002;2.5642092225319595;0.0;-0.4775255267956589;(-91.5163315508374)*L.i + (-40.3065702715645)*L.k;813.506321794803*L.i + (-1847.06968579503)*L.k;(4.24637480765386e-6)*L.i + (-9.64141269908843e-6)*L.k;(1.05351820608152e-7)*L.j
0.02550000000000002;2.5185543382987894;0.0;-0.49791012904668164;(-91.1032006534389)*L.i + (-41.2317972719268)*L.k;839.017267799196*L.i + (-1853.83831565399)*L.k;(4.37953792578854e-6)*L.i + (-9.67674388035327e-6)*L.k;(1.06217381043782e-7)*L.j
0.02600000000000002;2.473109235052736;0.0;-0.5187581727896218;(-90.6772081776731)*L.i + (-42.1603350714525)*L.k;864.952635264116*L.i + (-1860.31288244881)*L.k;(4.51491645706695e-6)*L.i + (-9.71054009876167e-6)*L.k;(1.07089089410239e-7)*L.j
0.02650000000000002;2.427880396697235;0.0;-0.5400712757696743;(-90.2381417053473)*L.i + (-43.0920330326173)*L.k;891.313254038851*L.i + (-1866.47896221029)*L.k;(4.65251473317161e-6)*L.i + (-9.74272606346734e-6)*L.k;(1.07966825305283e-7)*L.j
